Timestamp,What is your background in philosophy,Where in the world did most of your childhood education and upbringing take place? ,I have thoughts,I can see red,I can smell coffee,There is something it is like to see red,There is a property of what it is like to see red,There are phenomenal properties,Consciousness exists,I know what Consciousness is,Consciousness cannot be explained by Science,Consciousness can be explained by Philosophy,It is possible for a Computer to have Consciousness,Consciousness is private (someone else could not know my consciousness) ,I can imagine myself as a bat,I can know what it's like to be a bat,The smell of coffee is a private phenomenal property,I have qualia,It is possible for everything about my body and brain to be the same and for me not to have a mind,I have an intuition that Consciousness exists,There is something in common to all of my sensory experiences,Whether or not I am seeing red is a fact,There is something in common to all of my red experiences,I would describe my views on mind as
11/11/2024 12:25:42,Personal Interest (I read philosophy books and listen to philosophy podcasts),Asia,Slightly agree,Strongly agree,Strongly agree,Slightly agree,Slightly agree,Unsure: I understand the question,Slightly agree,Slightly agree,Slightly agree,Unsure: I understand the question,Slightly disagree,Slightly agree,Unsure: I understand the question,Unsure: I understand the question,Slightly agree,Slightly agree,Slightly disagree,Slightly agree,Slightly agree,Unsure: I understand the question,Strongly agree,Neutral monist 
11/11/2024 12:27:02,No background,"Western World (North America, EU, AUS/NZ)",Strongly disagree,Strongly agree,Strongly agree,Unsure: I do not understand the question,Strongly agree,Unsure: I do not understand the question or think it is confused,Strongly agree,Slightly agree,Unsure: I understand the question,Unsure: I understand the question,Slightly disagree,Unsure: I do not understand the question or think it is confused,Strongly disagree,Slightly disagree,Strongly Disagree,Unsure: I do not understand the question or think it is confused,Strongly disagree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Unsure
11/11/2024 12:27:15,Formal university education in philosophy,South America,Unsure: I do not understand the question or think it is confused,Unsure: I do not understand the question or think it is confused,Unsure: I do not understand the question or think it is confused,Strongly Disagree,Strongly agree,Strongly disagree,Strongly agree,Slightly agree,Strongly Disagree,Slightly agree,Strongly agree,Strongly disagree,Strongly Disagree,Slightly disagree,Strongly Disagree,Strongly Disagree,Strongly Disagree,Slightly agree,Strongly agree,Strongly agree,Strongly agree,Materialist
11/11/2024 12:27:31,Formal university education in philosophy,Africa,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Slightly agree,Slightly agree,Strongly disagree,Slightly disagree,Slightly agree,Slightly agree,Strongly agree,Slightly agree,Slightly disagree,Strongly agree,Unsure: I understand the question,Slightly disagree,Strongly agree,Slightly agree,Strongly agree,Slightly agree,Monist
11/11/2024 12:28:10,Personal Interest (I read philosophy books and listen to philosophy podcasts),"Western World (North America, EU, AUS/NZ)",Strongly agree,Strongly agree,Strongly agree,Unsure: I understand the question,Strongly disagree,Strongly disagree,Unsure: I do not understand the question or think it is confused,Unsure: I do not understand the question or think it is confused,Strongly Disagree,Slightly agree,Slightly agree,Strongly agree,Slightly agree,Strongly Disagree,Strongly agree,Slightly agree,Strongly disagree,Slightly disagree,Strongly agree,Strongly agree,Strongly agree,Materialist
11/11/2024 12:28:58,Formal university education in philosophy,"Western World (North America, EU, AUS/NZ)",Strongly agree,Strongly agree,Strongly agree,Unsure: I do not understand the question,Strongly disagree,Slightly disagree,Strongly agree,Strongly Disagree,Strongly disagree,Strongly disagree,Strongly agree,Slightly agree,Slightly disagree,Slightly disagree,Slightly disagree,Slightly disagree,Strongly disagree,Strongly agree,Unsure: I do not understand the question or think it is confused,Strongly agree,Slightly agree,Materialist
11/11/2024 12:33:03,Some formal education in philosophy (high school or otherwise),"Western World (North America, EU, AUS/NZ)",Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly disagree,Strongly agree,Unsure: I understand the question,Strongly disagree,Unsure: I understand the question,Strongly disagree,Strongly disagree,Slightly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Monist
11/11/2024 12:33:59,Personal Interest (I read philosophy books and listen to philosophy podcasts),"Western World (North America, EU, AUS/NZ)",Slightly disagree,Strongly agree,Strongly agree,Slightly disagree,Strongly disagree,Strongly Disagree,Strongly Disagree,Slightly agree,Slightly disagree,Slightly agree,Strongly agree,Slightly disagree,Strongly agree,Strongly disagree,Slightly disagree,Strongly Disagree,Strongly Disagree,Strongly Disagree,Slightly agree,Slightly agree,Slightly agree,"Sorry, don’t know the name for it, but I seems to me that mind/consciousness is something my brain does rather than something that exists. Eg mind is to brain as running is to legs"
11/11/2024 12:35:06,Personal Interest (I read philosophy books and listen to philosophy podcasts),"Western World (North America, EU, AUS/NZ)",Slightly agree,Unsure: I understand the question,Unsure: I understand the question,Slightly disagree,Slightly disagree,Unsure: I understand the question,Slightly agree,Slightly disagree,Unsure: I do not understand the question or think it is confused,Unsure: I do not understand the question or think it is confused,Strongly disagree,Slightly agree,Slightly agree,Slightly disagree,Slightly agree,Unsure: I understand the question,Unsure: I do not understand the question or think it is confused,Strongly agree,Slightly agree,Slightly agree,Strongly agree,Materialist
11/11/2024 12:35:12,Formal university education in philosophy,"Western World (North America, EU, AUS/NZ)",Strongly agree,Strongly agree,Strongly agree,Unsure: I understand the question,Unsure: I understand the question,Unsure: I do not understand the question or think it is confused,Unsure: I understand the question,Unsure: I do not understand the question or think it is confused,Unsure: I understand the question,Unsure: I understand the question,Slightly agree,Unsure: I understand the question,Slightly agree,Unsure: I understand the question,Unsure: I do not understand the question or think it is confused,Unsure: I do not understand the question or think it is confused,Strongly Disagree,Strongly Disagree,,Unsure: I understand the question,Unsure: I understand the question,Qualia Quietist
